Number of prospects entering the Quiz Funnel,Cost per Prospect Entering the Quiz Funnel,Lead Conversion Rate,Sales per Lead,Break-even Product Price,Number of generated leads,Number of Sales,Initial Ad Investment,Revenue
1000,0.4,0.3,0.2,6.666666666666667,300,60,400,400
1500,0.4,0.3,0.2,6.666666666666667,450,90,600,600
2000,0.4,0.3,0.2,6.666666666666667,600,120,800,800
2500,0.4,0.3,0.2,6.666666666666667,750,150,1000,1000
3000,0.4,0.3,0.2,6.666666666666667,900,180,1200,1200
3500,0.4,0.3,0.2,6.666666666666667,1050,210,1400,1400
4000,0.4,0.3,0.2,6.666666666666667,1200,240,1600,1600
4500,0.4,0.3,0.2,6.666666666666667,1350,270,1800,1800
5000,0.4,0.3,0.2,6.666666666666667,1500,300,2000,2000
5500,0.4,0.3,0.2,6.666666666666667,1650,330,2200,2200
6000,0.4,0.3,0.2,6.666666666666667,1800,360,2400,2400
6500,0.4,0.3,0.2,6.666666666666667,1950,390,2600,2600
7000,0.4,0.3,0.2,6.666666666666667,2100,420,2800,2800
7500,0.4,0.3,0.2,6.666666666666667,2250,450,3000,3000
8000,0.4,0.3,0.2,6.666666666666667,2400,480,3200,3200
8500,0.4,0.3,0.2,6.666666666666667,2550,510,3400,3400
9000,0.4,0.3,0.2,6.666666666666667,2700,540,3600,3600
9500,0.4,0.3,0.2,6.666666666666667,2850,570,3800,3800
10000,0.4,0.3,0.2,6.666666666666667,3000,600,4000,4000
10500,0.4,0.3,0.2,6.666666666666667,3150,630,4200,4200
11000,0.4,0.3,0.2,6.666666666666667,3300,660,4400,4400
11500,0.4,0.3,0.2,6.666666666666667,3450,690,4600,4600
12000,0.4,0.3,0.2,6.666666666666667,3600,720,4800,4800
12500,0.4,0.3,0.2,6.666666666666667,3750,750,5000,5000
13000,0.4,0.3,0.2,6.666666666666667,3900,780,5200,5200
13500,0.4,0.3,0.2,6.666666666666667,4050,810,5400,5400
14000,0.4,0.3,0.2,6.666666666666667,4200,840,5600,5600
14500,0.4,0.3,0.2,6.666666666666667,4350,870,5800,5800
15000,0.4,0.3,0.2,6.666666666666667,4500,900,6000,6000
15500,0.4,0.3,0.2,6.666666666666667,4650,930,6200,6200
16000,0.4,0.3,0.2,6.666666666666667,4800,960,6400,6400
16500,0.4,0.3,0.2,6.666666666666667,4950,990,6600,6600
17000,0.4,0.3,0.2,6.666666666666667,5100,1020,6800,6800
17500,0.4,0.3,0.2,6.666666666666667,5250,1050,7000,7000
18000,0.4,0.3,0.2,6.666666666666667,5400,1080,7200,7200
